Animal,MSE,SSIM
Orbium unicaudatus,0.0006839724401786233,0.9914062793799236
Orbium unicaudatus ignis,0.0004931361379187093,0.9912766708618242
Orbium bicaudatus,0.0005982360485588228,0.9918806630513166
Orbium bicaudatus ignis,0.00034560071922457714,0.9924149350609033
Gyrorbium gyrans,0.10805361295523348,0.3750395790630514
Gyrorbium labans,0.06842660717590193,0.5307384533399295
Vagorbium vagus,0.24275122449697464,0.2459289507988111
Synorbium,0.009888588332993851,0.9301283853460276
Tetrasynorbium?,0.10822032361492515,0.5876624919793395
Parorbium dividuus,0.11577795758592827,0.4441630852555613
Parorbium dividuus pedes,0.02349287042715552,0.7961069746063636
Parorbium adhaerens,0.12349330607435101,0.5260356641629682
Triorbium(?),0.07884681107172414,0.6558097846953915
Scutium solidus,0.0019307066740275104,0.99126689951928
Scutium valvatus,0.015082039863390788,0.9490016074062807
Scutium serratus fluens,0.11509506731084633,0.6474727648252032
Scutium serratus vagus,0.04639707623661531,0.839162169428208
Scutium serratus saliens,0.11149573673089909,0.6444440776031715
Scutium serratus solidus,0.10603782861236066,0.6907046399311862
Scutium serratus fluens,0.11406535575141001,0.6506769662758219
Scutium serratus fluens,0.11286148702953637,0.6533056598433238
Discutium solidus,0.024598106523601976,0.9106964314237939
Discutium valvatus,0.0800537626976405,0.7406799164745473
Discutium serratus,0.09609554103002689,0.7322705145932213
Discutium serratus,0.09959590133967021,0.7232425275165725
Triscutium solidus,0.12957936852253465,0.6847837217030706
Triscutium valvatus centrale,0.11119219982197015,0.702952016317375
Triscutium valvatus laterale,0.10554849910759154,0.704455310373304
Triscutium serratus valvatus centrale,0.09131185117787831,0.7510210212385515
Triscutium serratus valvatus laterale,0.0964161876556051,0.7331402820473196
Tetrascutium solidus,0.15356774070302515,0.6452783818716202
Tetrascutium valvatus,0.14796062801501014,0.6372845665947522
Pentascutium solidus,0.16018262342283138,0.6301259953945324
Pentascutium valvatus,0.16701506793904924,0.6017459648502517
Hexascutium,0.15343057164370313,0.6693500765547282
Heptascutium,0.15049168075644964,0.6934117657452595
Octascutium,0.18785859907443683,0.6208617620573484
Octascutium obliquus,0.22323034521215293,0.5449122002869516
Nonascutium,0.21495207044865294,0.5585083295490502
Decascutium,0.24656317550096246,0.49672320867505554
Dodecascutium,0.294472279248344,0.4053299082044786
Tetradecascutium,0.35825708931746536,0.28346215073773084
Tetracosascutium,0.4988843933286313,0.06394502162035903
Catenoscutium bidirectus,0.060456331563035565,0.779553074912641
Gyropteron arcus,0.0994874684263479,0.6835075060307664
Gyropteron cavus,0.11369660539377983,0.5960245292524398
Gyropteron serratus velox,0.08802297500627793,0.6624019447246269
Gyropteron serratus turbulentus,0.041818447862990306,0.8107310398299351
Gyropteron serratus velox,0.08752022558062586,0.665694324141315
Gyropteron serratus velox,0.08479900254187508,0.6751429329595297
Synptera cavus saliens,0.11070002890786984,0.6159468084508284
Synptera cavus pedes,0.187942237524936,0.3111114910114061
Synptera sinus pedes,0.14892502239401534,0.4087798656172304
Pyroscutium arcus pedes,0.09699504946587437,0.7042553357820046
Pyroscutium ambiguus,0.025113248233875472,0.8997219088956541
Synptera serratus arcus pedes,0.13801310977180264,0.5930523597698151
Synptera serratus cavus labens,0.13405804185996256,0.55485579072728
Synptera serratus cavus saliens,0.09984510363374557,0.638474303244206
Synptera serratus sinus labens,0.10775386229621735,0.5927899970227501
Synptera serratus sinus pedes,0.1208704028132602,0.5475396514721661
Pyroscutium ambiguus serratus,0.12479474772478451,0.6193283065659296
Paraptera arcus labens,0.13228499136336788,0.6429569173809261
Paraptera arcus saliens,0.18832856460192496,0.4758696599556305
Paraptera arcus saliens ignis,0.16578458268095025,0.5167301743381906
Paraptera arcus pedes,0.18045682146182068,0.5291856422118708
Paraptera cavus labens,0.05218642126606381,0.8346896071252838
Paraptera cavus salien,0.10830372446675803,0.6246353311397606
Paraptera cavus pedes,0.1279759473192846,0.6112111173696633
Paraptera cavus furiosus,0.02477055712240741,0.9098947292631732
Paraptera orbis pedes,0.1564070667092541,0.44780489804257834
Paraptera orbis furiosus,0.10348142260059054,0.60712241007253
Paraptera sinus labens,0.024281484270428276,0.9173924415224777
Paraptera sinus pedes,0.00594902464156936,0.9759215799432897
Paraptera ambiguus,0.14157242611830906,0.634558478483281
Paraptera serratus arcus saliens,0.13813881396916083,0.6195023605856268
Pentapteryx arcus labens,0.15450294853521693,0.5995622851935871
Pentapteryx arcus saliens,0.21722342633983138,0.4252808544546361
Pentapteryx arcus pedes,0.2362691607828143,0.3431714395731468
Pentapteryx cavus labens,0.10394408735736818,0.7036385905292083
Pentapteryx cavus saliens,0.17949407041841817,0.46002707630818374
Pentapteryx cavus pedes,0.19325640620990855,0.4538569447471362
Pentapteryx cavus furiosus,0.1383503059613222,0.5620041847281628
Pentapteryx arcus valvatus,0.15803782829136107,0.6011424387181851
Pentapteryx serratus cavus labens,0.13422829563775046,0.6278613802874878
Hexapteryx arcus labens,0.20105355651623222,0.494775426035139
Hexapteryx cavus labens,0.11749772344454806,0.6687871013377645
Hexapteryx serratus cavus labens,0.14704655243830625,0.6113316139941509
Heptapteryx arcus labens,0.22322871543192513,0.4425790427502983
Heptapteryx cavus labens,0.1410875284581085,0.6037252767937633
Heptapteryx cavus labens cunctans,0.124745833232578,0.6420403375443725
Heptapteryx serratus cavus labens,0.16166287553601236,0.5739107295624211
Heptapteryx serratus liquefaciens,0.1166622895763138,0.6706763096403363
Octapteryx arcus labens,0.2429479553462382,0.3951800572362074
Octapteryx cavus labens,0.16078933159056247,0.5523690361721714
Octapteryx serratus cavus labens,0.1550336830928299,0.6038074194602888
Nonapteryx arcus labens,0.26382833547813056,0.35118975611841274
Nonapteryx cavus labens,0.22006924898489524,0.40319549168225394
Nonapteryx serratus cavus labens,0.17380659212576124,0.5657315835602572
Nonapteryx serratus sinus labens,0.16668604428989947,0.5744600835666556
Decapteryx arcus labens,0.2918378994703643,0.29184776641646715
Decapteryx cavus labens,0.24319567178191037,0.3449575042978751
Decapteryx serratus sinus labens,0.20475299774435013,0.49270452442575097
Tridecapteryx arcus valvatus,0.3615268832577259,0.18341755413289115
Tetracosapteryx arcus labens,0.428201941056339,0.059173690432368746
Tetracosapteryx cavus labens,0.3835414617552522,0.07945004009099173
Hexacaudopteryx,0.07605194705520843,0.7797752298919929
Hexacaudopteryx serratus cavus labens,0.16694735046244588,0.5632897755102582
Octacaudopteryx serratus cavus labens,0.1553734832604483,0.6014827316856682
Decacaudopteryx serratus sinus labens,0.1975395835732945,0.5009882344363893
Catenopteryx cyclon,0.0337659667756755,0.8989069465596828
Catenopteryx cyclon scutoides,0.31481315515494906,0.28643226919959053
Catenopteryx cinguli,0.36061251429457947,0.21118242959797437
Catenopteryx serratus cinguli,0.16426159824404238,0.5754059689545674
Helicium solidus,0.05368967552836947,0.8369880381591269
Helicium arcus saliens,0.08627350419381305,0.7294995716043984
Helicium arcus saliens ignis,0.17998454583818924,0.4886367648750886
Helicium arcus pedes,0.1570319596543982,0.5283969995407397
Helicium cavus pedes,0.14944627174055136,0.40680024352939015
Helicium serratus ocellus,0.09920965265383497,0.6986281641114526
