Animal,MSE,SSIM
Orbium unicaudatus,0.0007181783047834015,0.9910950255217824
Orbium unicaudatus ignis,0.0027776837286242074,0.9712883139526813
Orbium bicaudatus,0.0005685206618058049,0.9922656997609858
Orbium bicaudatus ignis,0.00034560071922457714,0.9924149350609033
Gyrorbium gyrans,0.10739134733525073,0.3776340666525716
Gyrorbium labans,0.07100625310847057,0.5072844673785027
Vagorbium vagus,0.25503899567319627,0.21105984590409252
Synorbium,0.003863570566691456,0.9689069890474896
Tetrasynorbium?,0.13776101445546196,0.48175709622333346
Parorbium dividuus,0.11656134165287613,0.4423554507256411
Parorbium dividuus pedes,0.016845559267824838,0.8497890615671879
Parorbium adhaerens,0.1302552661047385,0.5022721755895997
Triorbium(?),0.06278865365674981,0.7089296142803331
Scutium solidus,0.0018434393204368718,0.991663539597099
Scutium valvatus,0.01818985343623288,0.9384188743445908
Scutium serratus fluens,0.07393742472205325,0.7729433182969754
Scutium serratus vagus,0.008654583601329001,0.9677081623140755
Scutium serratus saliens,0.048761182704491424,0.8492089364374731
Scutium serratus solidus,0.06198229627099958,0.8183061219409475
Scutium serratus fluens,0.07116577994075139,0.7799947992889436
Scutium serratus fluens,0.07356828769962973,0.7729555365425377
Discutium solidus,0.030734268572194787,0.8873220437488478
Discutium valvatus,0.07996969334059038,0.7278795832512027
Discutium serratus,0.03889695542770856,0.8514123188787632
Discutium serratus,0.03823313074189869,0.852081353476975
Triscutium solidus,0.13619522511742266,0.6688740275592772
Triscutium valvatus centrale,0.11933616113764588,0.6904409643776851
Triscutium valvatus laterale,0.12114540194254929,0.6754323941972042
Triscutium serratus valvatus centrale,0.07592153124069102,0.7758623366629601
Triscutium serratus valvatus laterale,0.08158973969688958,0.7587435309397621
Tetrascutium solidus,0.15361706074049303,0.644509342023016
Tetrascutium valvatus,0.1412737619269138,0.6530239199808332
Pentascutium solidus,0.15984480474459326,0.6301151628984072
Pentascutium valvatus,0.17514762429662387,0.5832198300589455
Hexascutium,0.1531273397860533,0.669457770781294
Heptascutium,0.14998214434263474,0.6943731247538399
Octascutium,0.1847313442800381,0.6263553662802244
Octascutium obliquus,0.2236181955853543,0.5442589589312835
Nonascutium,0.21958600959946062,0.5500505993109479
Decascutium,0.24308696931167031,0.5031311647016081
Dodecascutium,0.29433665025834915,0.40540385052388755
Tetradecascutium,0.3562169506649299,0.28713790059307737
Tetracosascutium,0.4992444365637019,0.06304616493409436
Catenoscutium bidirectus,0.07030530435500736,0.749615618006924
Gyropteron arcus,0.1157801559197924,0.6328843686686597
Gyropteron cavus,0.12590090191849518,0.5508314497961475
Gyropteron serratus velox,0.10464738744509307,0.5881244444413102
