Animal,tolerance
Orbium unicaudatus,0.39
Orbium unicaudatus ignis,0.22
Orbium bicaudatus,0.51
Orbium bicaudatus ignis,0.03
Gyrorbium gyrans,0.11
Gyrorbium labans,0.02
Vagorbium vagus,0.01
Synorbium,0.26
Tetrasynorbium?,0.17
Parorbium dividuus,0.25
Parorbium dividuus pedes,0.14
Parorbium adhaerens,0.27
Triorbium(?),0.2
Scutium solidus,0.06
Scutium valvatus,0.04
Scutium serratus fluens,0.37
Scutium serratus vagus,0.35
Scutium serratus saliens,0.56
Scutium serratus solidus,0.35
Scutium serratus fluens,0.37
Scutium serratus fluens,0.37
Discutium solidus,0.04
Discutium valvatus,0.03
Discutium serratus,0.05
Discutium serratus,0.05
Triscutium solidus,0.05
Triscutium valvatus centrale,0.05
Triscutium valvatus laterale,0.03
Triscutium serratus valvatus centrale,0.11
Triscutium serratus valvatus laterale,0.12
Tetrascutium solidus,0.05
Tetrascutium valvatus,0.06
Pentascutium solidus,0.06
Pentascutium valvatus,0.06
Hexascutium,0.06
Heptascutium,0.07
Octascutium,0.09
Octascutium obliquus,0.06
Nonascutium,0.07
Decascutium,0.08
Dodecascutium,0.1
Tetradecascutium,0.11
Tetracosascutium,0.24
Catenoscutium bidirectus,0.0
Gyropteron arcus,0.02
Gyropteron cavus,0.02
Gyropteron serratus velox,0.39
Gyropteron serratus turbulentus,0.2
Gyropteron serratus velox,0.39
Gyropteron serratus velox,0.39
Synptera cavus saliens,0.39
Synptera cavus pedes,0.12
Synptera sinus pedes,0.28
Pyroscutium arcus pedes,0.06
Pyroscutium ambiguus,0.04
Synptera serratus arcus pedes,0.21
Synptera serratus cavus labens,0.39
Synptera serratus cavus saliens,0.3
Synptera serratus sinus labens,0.32
Synptera serratus sinus pedes,0.24
Pyroscutium ambiguus serratus,0.05
Paraptera arcus labens,0.2
Paraptera arcus saliens,0.22
Paraptera arcus saliens ignis,0.22
Paraptera arcus pedes,0.15
Paraptera cavus labens,0.32
Paraptera cavus salien,0.33
Paraptera cavus pedes,0.32
Paraptera cavus furiosus,0.27
Paraptera orbis pedes,0.27
Paraptera orbis furiosus,0.21
Paraptera sinus labens,0.24
Paraptera sinus pedes,0.24
Paraptera ambiguus,0.13
Paraptera serratus arcus saliens,0.24
Pentapteryx arcus labens,0.17
Pentapteryx arcus saliens,0.19
Pentapteryx arcus pedes,0.23
Pentapteryx cavus labens,0.21
Pentapteryx cavus saliens,0.29
Pentapteryx cavus pedes,0.23
Pentapteryx cavus furiosus,0.27
Pentapteryx arcus valvatus,0.13
Pentapteryx serratus cavus labens,0.13
Hexapteryx arcus labens,0.17
Hexapteryx cavus labens,0.24
Hexapteryx serratus cavus labens,0.21
Heptapteryx arcus labens,0.17
Heptapteryx cavus labens,0.21
Heptapteryx cavus labens cunctans,0.22
Heptapteryx serratus cavus labens,0.08
Heptapteryx serratus liquefaciens,0.19
Octapteryx arcus labens,0.15
Octapteryx cavus labens,0.24
Octapteryx serratus cavus labens,0.15
Nonapteryx arcus labens,0.14
Nonapteryx cavus labens,0.17
Nonapteryx serratus cavus labens,0.1
Nonapteryx serratus sinus labens,0.07
Decapteryx arcus labens,0.16
Decapteryx cavus labens,0.19
Decapteryx serratus sinus labens,0.1
Tridecapteryx arcus valvatus,0.2
Tetracosapteryx arcus labens,0.31
Tetracosapteryx cavus labens,0.26
Hexacaudopteryx,0.05
Hexacaudopteryx serratus cavus labens,0.06
Octacaudopteryx serratus cavus labens,0.04
Decacaudopteryx serratus sinus labens,0.05
Catenopteryx cyclon,0.0
Catenopteryx cyclon scutoides,0.0
Catenopteryx cinguli,0.56
Catenopteryx serratus cinguli,0.11
Helicium solidus,0.05
Helicium arcus saliens,0.15
Helicium arcus saliens ignis,0.04
Helicium arcus pedes,0.13
Helicium cavus pedes,0.07
Helicium serratus ocellus,0.23
Helicium serratus velox,0.22
Helicium serratus turbulentus,0.25
Helicium serratus turbulentus,0.25
Helicium serratus turbulentus,0.25
Pentahelicium solidus,0.06
Pentahelicium ignis,0.1
Pentahelicium serratus limus,0.06
Heptahelicium solidus,0.07
Heptahelicium ignis,0.07
Heptahelicium serratus limus,0.08
Nonahelicium solidus,0.04
Nonahelicium ignis,0.04
Nonahelicium serratus,0.03
Tetrahelicium(?),0.0
