Animal,Extinction Frame,SSIM Index,Final state check,Initial Entropy,Final Entropy,params
Orbium unicaudatus,-1,0.9855122495384302,stable,0.04288232846341135,0.04202879662755917,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.15, 's': 0.017}"
Orbium unicaudatus ignis,56,,,0.03850161402548787,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.11, 's': 0.012}"
Orbium bicaudatus,-1,0.9847471062342339,stable,0.03852538509139772,0.040014454608831004,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.15, 's': 0.014}"
Orbium bicaudatus ignis,67,,,0.03172139863381943,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.1, 's': 0.008}"
Gyrorbium gyrans,-1,0.9875912192705147,stable,0.047704158466203815,0.04868815487807919,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.156, 's': 0.0224}"
Gyrorbium labans,-1,0.052959892869923565,soup,0.04367335422871196,0.921177952970555,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.133, 's': 0.0177}"
Vagorbium vagus,-1,0.22326896006413416,soup,0.1178126218473139,1.0747408594233137,"{'R': 20, 'T': 10, 'b': '1', 'm': 0.2, 's': 0.031}"
Synorbium,-1,0.9704687410594036,stable,0.07255164071234037,0.07272420469844432,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.152, 's': 0.0156}"
Tetrasynorbium?,-1,0.839400162756633,stable,0.4325806283906807,0.44156870340265386,"{'R': 26, 'T': 10, 'b': '1', 'm': 0.15, 's': 0.0149}"
Parorbium dividuus,-1,0.9647996153335727,stable,0.09304019204695735,0.09589752531962058,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.184, 's': 0.025}"
Parorbium dividuus pedes,-1,0.9685776822226048,stable,0.06467388089836518,0.06691702984295092,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.11, 's': 0.011}"
Parorbium adhaerens,-1,0.966404876888065,stable,0.10506509879346525,0.10777277843612167,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.23, 's': 0.0323}"
Triorbium(?),-1,0.8639552001896941,stable,0.3095135357686696,0.29929623056393706,"{'R': 26, 'T': 10, 'b': '1', 'm': 0.114, 's': 0.0115}"
Scutium solidus,-1,0.9844957607510816,stable,0.046043784480305716,0.04672799680678883,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.29, 's': 0.045}"
Scutium valvatus,150,,,0.05033736592203318,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.282, 's': 0.0448}"
Scutium serratus fluens,-1,0.9851644437882975,stable,0.04793438460650446,0.048693492416558744,"{'R': 18, 'T': 10, 'b': '1/12,1/6,1/2,1', 'm': 0.32, 's': 0.0575}"
Scutium serratus vagus,-1,0.9865305932704133,stable,0.030631775730953173,0.04016113628383765,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.27, 's': 0.044}"
Scutium serratus saliens,-1,0.9744458857926224,stable,0.07667412286176674,0.07663696470260793,"{'R': 18, 'T': 10, 'b': '1/2,1', 'm': 0.24, 's': 0.036}"
Scutium serratus solidus,-1,0.9853563303261809,stable,0.0484248493297787,0.05006260431838746,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.32, 's': 0.06}"
Scutium serratus fluens,10,,,0.04793438460650446,,"{'R': 18, 'T': 10, 'b': '1/12,1/6,1/2,1', 'm': 0.32, 's': 0.0575}"
Scutium serratus fluens,10,,,0.04793438460650446,,"{'R': 18, 'T': 10, 'b': '1/12,1/6,1/2,1', 'm': 0.32, 's': 0.0575}"
Discutium solidus,-1,0.9731691910653318,stable,0.08629241369395359,0.08980351994227193,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.356, 's': 0.063}"
Discutium valvatus,-1,0.025670137125583713,soup,0.08867396805235697,1.5522966193446865,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.337, 's': 0.0595}"
Discutium serratus,-1,0.894941600491921,stable,0.08038758018497368,0.5337530685200845,"{'R': 13, 'T': 10, 'b': '5/12,1,1/2', 'm': 0.272, 's': 0.0375}"
Discutium serratus,-1,0.9689523157208905,stable,0.08038758018497368,0.10587884851198581,"{'R': 13, 'T': 10, 'b': '5/12,1,1/2', 'm': 0.272, 's': 0.0375}"
Triscutium solidus,-1,0.9622884948345448,stable,0.12425024399313711,0.13146169635652177,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.4, 's': 0.079}"
