Animal,MSE,SSIM,tolerance
Orbium unicaudatus,0.0007181783047834,0.9910950255217824,0.39
Orbium unicaudatus ignis,0.0027776837286242,0.9712883139526812,0.22
Orbium bicaudatus,0.0005685206618058,0.9922656997609858,0.51
Orbium bicaudatus ignis,0.0003456007192245,0.9924149350609032,0.03
Gyrorbium gyrans,0.1073913473352507,0.3776340666525716,0.11
Gyrorbium labans,0.0710062531084705,0.5072844673785027,0.02
Vagorbium vagus,0.2550389956731962,0.2110598459040925,0.01
Synorbium,0.0038635705666914,0.9689069890474896,0.26
Tetrasynorbium?,0.1377610144554619,0.4817570962233334,0.17
Parorbium dividuus,0.1165613416528761,0.4423554507256411,0.25
Parorbium dividuus pedes,0.0168455592678248,0.8497890615671879,0.14
Parorbium adhaerens,0.1302552661047385,0.5022721755895997,0.27
Triorbium(?),0.0627886536567498,0.7089296142803331,0.2
Scutium solidus,0.0018434393204368,0.991663539597099,0.06
Scutium valvatus,0.0181898534362328,0.9384188743445908,0.04
Scutium serratus fluens,0.0739374247220532,0.7729433182969754,0.37
Scutium serratus fluens,0.0739374247220532,0.7729433182969754,0.37
Scutium serratus fluens,0.0739374247220532,0.7729433182969754,0.37
Scutium serratus fluens,0.0711657799407513,0.7799947992889436,0.37
Scutium serratus fluens,0.0711657799407513,0.7799947992889436,0.37
Scutium serratus fluens,0.0711657799407513,0.7799947992889436,0.37
Scutium serratus fluens,0.0735682876996297,0.7729555365425377,0.37
Scutium serratus fluens,0.0735682876996297,0.7729555365425377,0.37
Scutium serratus fluens,0.0735682876996297,0.7729555365425377,0.37
Scutium serratus vagus,0.008654583601329,0.9677081623140756,0.35
Scutium serratus saliens,0.0487611827044914,0.8492089364374731,0.56
Scutium serratus solidus,0.0619822962709995,0.8183061219409475,0.35
Discutium solidus,0.0307342685721947,0.8873220437488478,0.04
Discutium valvatus,0.0799696933405903,0.7278795832512027,0.03
Discutium serratus,0.0388969554277085,0.8514123188787632,0.05
Discutium serratus,0.0388969554277085,0.8514123188787632,0.05
Discutium serratus,0.0382331307418986,0.852081353476975,0.05
Discutium serratus,0.0382331307418986,0.852081353476975,0.05
Triscutium solidus,0.1361952251174226,0.6688740275592772,0.05
Triscutium valvatus centrale,0.1193361611376458,0.6904409643776851,0.05
Triscutium valvatus laterale,0.1211454019425492,0.6754323941972042,0.03
Triscutium serratus valvatus centrale,0.075921531240691,0.7758623366629601,0.11
Triscutium serratus valvatus laterale,0.0815897396968895,0.7587435309397621,0.12
Tetrascutium solidus,0.153617060740493,0.644509342023016,0.05
Tetrascutium valvatus,0.1412737619269138,0.6530239199808332,0.06
Pentascutium solidus,0.1598448047445932,0.6301151628984072,0.06
Pentascutium valvatus,0.1751476242966238,0.5832198300589455,0.06
Hexascutium,0.1531273397860533,0.669457770781294,0.06
Heptascutium,0.1499821443426347,0.6943731247538399,0.07
Octascutium,0.1847313442800381,0.6263553662802244,0.09
Octascutium obliquus,0.2236181955853543,0.5442589589312835,0.06
Nonascutium,0.2195860095994606,0.5500505993109479,0.07
Decascutium,0.2430869693116703,0.5031311647016081,0.08
Dodecascutium,0.2943366502583491,0.4054038505238875,0.1
Tetradecascutium,0.3562169506649299,0.2871379005930773,0.11
Tetracosascutium,0.4992444365637019,0.0630461649340943,0.24
Catenoscutium bidirectus,0.0703053043550073,0.749615618006924,0.0
Gyropteron arcus,0.1157801559197924,0.6328843686686597,0.02
Gyropteron cavus,0.1259009019184951,0.5508314497961475,0.02
Gyropteron serratus velox,0.104647387445093,0.5881244444413102,0.39
Gyropteron serratus velox,0.104647387445093,0.5881244444413102,0.39
Gyropteron serratus velox,0.104647387445093,0.5881244444413102,0.39
Gyropteron serratus velox,0.1070526373379287,0.5817620423571509,0.39
Gyropteron serratus velox,0.1070526373379287,0.5817620423571509,0.39
Gyropteron serratus velox,0.1070526373379287,0.5817620423571509,0.39
Gyropteron serratus velox,0.1043605228299026,0.5904373180488253,0.39
Gyropteron serratus velox,0.1043605228299026,0.5904373180488253,0.39
Gyropteron serratus velox,0.1043605228299026,0.5904373180488253,0.39
Gyropteron serratus turbulentus,0.0668635521840209,0.6867308012337452,0.2
Synptera cavus saliens,0.1123038552453976,0.6126027856625472,0.39
Synptera cavus pedes,0.1898562454570818,0.3072321371011748,0.12
Synptera sinus pedes,0.1500423437863448,0.406463579819615,0.28
Pyroscutium arcus pedes,0.1077585139003743,0.681796992199471,0.06
Pyroscutium ambiguus,0.0248917379749946,0.9005636572477203,0.04
Synptera serratus arcus pedes,0.1371489941195334,0.5936992882576807,0.21
Synptera serratus cavus labens,0.1434496538908133,0.5178273322081884,0.39
Synptera serratus cavus saliens,0.1026602191289705,0.6169956004666618,0.3
Synptera serratus sinus labens,0.1191113295652249,0.5368907514780243,0.32
Synptera serratus sinus pedes,0.1758990217501221,0.3736575721542126,0.24
Pyroscutium ambiguus serratus,0.141672532290169,0.5488878939961277,0.05
Paraptera arcus labens,0.1200611511734849,0.6745263083990141,0.2
Paraptera arcus saliens,0.1884467262431305,0.4766298181863537,0.22
Paraptera arcus saliens ignis,0.1666283979044286,0.5136972209071209,0.22
Paraptera arcus pedes,0.1807206853376792,0.5289568746095108,0.15
Paraptera cavus labens,0.057495781947388,0.8239461411573432,0.32
Paraptera cavus salien,0.1094076161143761,0.621706747755186,0.33
Paraptera cavus pedes,0.129051566497428,0.6071792591189596,0.32
Paraptera cavus furiosus,0.0295716964207953,0.8912982172858197,0.27
Paraptera orbis pedes,0.1524342957908783,0.4596320454752877,0.27
Paraptera orbis furiosus,0.1102506879098107,0.5808460606990132,0.21
Paraptera sinus labens,0.0235758699504017,0.922688106134182,0.24
Paraptera sinus pedes,0.0045276463372845,0.9799696089347802,0.24
Paraptera ambiguus,0.1487225703444937,0.6171362381820082,0.13
Paraptera serratus arcus saliens,0.1476870490932645,0.5961669548116179,0.24
Pentapteryx arcus labens,0.1447325199768044,0.6246735342395869,0.17
Pentapteryx arcus saliens,0.2177161557410868,0.4227271023557231,0.19
Pentapteryx arcus pedes,0.2361547407573385,0.3442491110757054,0.23
Pentapteryx cavus labens,0.1022409840478057,0.7084161763857327,0.21
Pentapteryx cavus saliens,0.1789783994357089,0.4593252051551313,0.29
Pentapteryx cavus pedes,0.1948807715924571,0.4505852402803741,0.23
Pentapteryx cavus furiosus,0.1443648045591445,0.5448810694062476,0.27
Pentapteryx arcus valvatus,0.1520250934836271,0.6160589651367528,0.13
Pentapteryx serratus cavus labens,0.1316082128521626,0.6366148439502803,0.13
Hexapteryx arcus labens,0.2009695759297061,0.4952912034345689,0.17
Hexapteryx cavus labens,0.1107834808292423,0.685889767755386,0.24
Hexapteryx serratus cavus labens,0.1565028896456846,0.592614242520488,0.21
Heptapteryx arcus labens,0.2169025427679294,0.4578027261348377,0.17
Heptapteryx cavus labens,0.1449130300124021,0.5942893375493019,0.21
Heptapteryx cavus labens cunctans,0.1241569977678832,0.6434866150020753,0.22
Heptapteryx serratus cavus labens,0.167370684595474,0.5625300618507405,0.08
Heptapteryx serratus liquefaciens,0.1249358235240129,0.6394663381258902,0.19
Octapteryx arcus labens,0.2429920701934085,0.3954502421053549,0.15
Octapteryx cavus labens,0.1640071197508026,0.5441615295295386,0.24
Octapteryx serratus cavus labens,0.1694348304995155,0.5699778575755267,0.15
Nonapteryx arcus labens,0.2620761774933449,0.3543862850487087,0.14
Nonapteryx cavus labens,0.2198566896334018,0.4045395482490831,0.17
Nonapteryx serratus cavus labens,0.1910306793863045,0.5262718112423563,0.1
Nonapteryx serratus sinus labens,0.1782130714512284,0.5486555830470631,0.07
Decapteryx arcus labens,0.2918705187748874,0.2908569040190311,0.16
Decapteryx cavus labens,0.2373394478054321,0.3607961553230274,0.19
Decapteryx serratus sinus labens,0.2343006992116318,0.4255718212637934,0.1
Tridecapteryx arcus valvatus,0.357238374817623,0.1914758734844921,0.2
Tetracosapteryx arcus labens,0.4274654308240616,0.060323804392838,0.31
Tetracosapteryx cavus labens,0.3780720507186648,0.0927267681333289,0.26
Hexacaudopteryx,0.0801731887898582,0.7673935543692149,0.05
Hexacaudopteryx serratus cavus labens,0.1749793555548799,0.544797801515154,0.06
Octacaudopteryx serratus cavus labens,0.1634170468795316,0.5846165583526944,0.04
Decacaudopteryx serratus sinus labens,0.2209055670005699,0.4467940526748303,0.05
Catenopteryx cyclon,0.0340764042589255,0.8986093733688765,0.0
Catenopteryx cyclon scutoides,0.3218500162379545,0.2700050858693094,0.0
