Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Orbium unicaudatus,-1,stable,0.0428823284634113,0.0420287966275591,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.15, 's': 0.017}",222,0.9065743944636678,0.329118484285066,0.0007181783047834,0.9910950255217824,0.39
Orbium unicaudatus ignis,56,,0.0385016140254878,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.11, 's': 0.012}",198,0.9389312977099236,0.4471822195479056,0.0027776837286242,0.9712883139526812,0.22
Orbium bicaudatus,-1,stable,0.0385253850913977,0.040014454608831,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.15, 's': 0.014}",201,0.8913857677902621,0.2054157026014869,0.0005685206618058,0.9922656997609858,0.51
Orbium bicaudatus ignis,67,,0.0317213986338194,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.1, 's': 0.008}",179,0.9224489795918368,0.5007576626753627,0.0003456007192245,0.9924149350609032,0.03
Gyrorbium gyrans,-1,stable,0.0477041584662038,0.0486881548780791,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.156, 's': 0.0224}",253,0.819620253164557,0.2915625607638121,0.1073913473352507,0.3776340666525716,0.11
Gyrorbium labans,-1,soup,0.0436733542287119,0.921177952970555,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.133, 's': 0.0177}",235,0.8340425531914893,0.2821620184263269,0.0710062531084705,0.5072844673785027,0.02
Vagorbium vagus,-1,soup,0.1178126218473139,1.0747408594233137,"{'R': 20, 'T': 10, 'b': '1', 'm': 0.2, 's': 0.031}",699,0.912568306010929,0.1298487625637018,0.2550389956731962,0.2110598459040925,0.01
Synorbium,-1,stable,0.0725516407123403,0.0727242046984443,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.152, 's': 0.0156}",398,0.9282511210762332,0.254900929758149,0.0038635705666914,0.9689069890474896,0.26
Tetrasynorbium?,-1,stable,0.4325806283906807,0.4415687034026538,"{'R': 26, 'T': 10, 'b': '1', 'm': 0.15, 's': 0.0149}",3131,0.9306688417618272,0.149527140685113,0.1377610144554619,0.4817570962233334,0.17
Parorbium dividuus,-1,stable,0.0930401920469573,0.0958975253196205,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.184, 's': 0.025}",534,0.9281045751633988,0.0860115080114108,0.1165613416528761,0.4423554507256411,0.25
Parorbium dividuus pedes,-1,stable,0.0646738808983651,0.0669170298429509,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.11, 's': 0.011}",383,0.9230769230769232,0.1841026612383434,0.0168455592678248,0.8497890615671879,0.14
Parorbium adhaerens,-1,stable,0.1050650987934652,0.1077727784361216,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.23, 's': 0.0323}",607,0.9546247818499128,0.1136116469269061,0.1302552661047385,0.5022721755895997,0.27
Triorbium(?),-1,stable,0.3095135357686696,0.299296230563937,"{'R': 26, 'T': 10, 'b': '1', 'm': 0.114, 's': 0.0115}",2236,0.8449744463373083,0.1061714536448507,0.0627886536567498,0.7089296142803331,0.2
