Animal,Extinction Frame,SSIM Index,Final state check,Initial Entropy,Final Entropy
Orbium unicaudatus,-1,0.9855122495384302,stable,0.04288232846341135,0.04202879662755917
Orbium unicaudatus ignis,56,,,0.03850161402548787,
Orbium bicaudatus,-1,0.9847471062342339,stable,0.03852538509139772,0.040014454608831004
Orbium bicaudatus ignis,67,,,0.03172139863381943,
Gyrorbium gyrans,-1,0.9875912192705147,stable,0.047704158466203815,0.04868815487807919
Gyrorbium labans,-1,0.052959892869923565,soup,0.04367335422871196,0.921177952970555
Vagorbium vagus,-1,0.22326896006413416,soup,0.1178126218473139,1.0747408594233137
Synorbium,-1,0.9704687410594036,stable,0.07255164071234037,0.07272420469844432
Tetrasynorbium?,-1,0.839400162756633,stable,0.4325806283906807,0.44156870340265386
Parorbium dividuus,-1,0.9647996153335727,stable,0.09304019204695735,0.09589752531962058
Parorbium dividuus pedes,-1,0.9685776822226048,stable,0.06467388089836518,0.06691702984295092
Parorbium adhaerens,-1,0.966404876888065,stable,0.10506509879346525,0.10777277843612167
Triorbium(?),-1,0.8639552001896941,stable,0.3095135357686696,0.29929623056393706
Scutium solidus,-1,0.9844957607510816,stable,0.046043784480305716,0.04672799680678883
Scutium valvatus,150,,,0.05033736592203318,
Scutium serratus fluens,-1,0.9851644437882975,stable,0.04793438460650446,0.048693492416558744
Scutium serratus vagus,-1,0.9865305932704133,stable,0.030631775730953173,0.04016113628383765
Scutium serratus saliens,-1,0.9744458857926224,stable,0.07667412286176674,0.07663696470260793
Scutium serratus solidus,-1,0.9853563303261809,stable,0.0484248493297787,0.05006260431838746
Scutium serratus fluens,10,,,0.04793438460650446,
Scutium serratus fluens,10,,,0.04793438460650446,
Discutium solidus,-1,0.9731691910653318,stable,0.08629241369395359,0.08980351994227193
Discutium valvatus,-1,0.025670137125583713,soup,0.08867396805235697,1.5522966193446865
Discutium serratus,-1,0.894941600491921,stable,0.08038758018497368,0.5337530685200845
Discutium serratus,-1,0.9689523157208905,stable,0.08038758018497368,0.10587884851198581
Triscutium solidus,-1,0.9622884948345448,stable,0.12425024399313711,0.13146169635652177
Triscutium valvatus centrale,-1,0.9654499417189835,stable,0.11279113396855041,0.11780243020422788
Triscutium valvatus laterale,-1,0.9658889859567356,stable,0.11447787610026744,0.11643530377834736
Triscutium serratus valvatus centrale,-1,0.9653950565546525,stable,0.11564055816524312,0.11679947458390656
Triscutium serratus valvatus laterale,-1,0.9647096238735492,stable,0.10976973487267973,0.12036080893562377
Tetrascutium solidus,-1,0.9183088462218607,stable,0.1683370510138073,0.42626489112722216
Tetrascutium valvatus,-1,0.9540184689575714,stable,0.15214961784130132,0.16384469394031656
Pentascutium solidus,-1,0.9423591483293248,stable,0.19297716832267073,0.20206401604242533
Pentascutium valvatus,-1,0.9228095486413594,stable,0.19486786057040054,0.3550441812298357
Hexascutium,-1,0.931320754791851,stable,0.2333071641100946,0.23963182954729081
Heptascutium,-1,0.9204018406119184,stable,0.27332597135782466,0.2836077283382684
Octascutium,-1,0.5075386574219446,soup,0.32395004987933584,1.4855316822114284
Octascutium obliquus,-1,0.11936372006541371,soup,0.33758916595102456,1.746626711923258
Nonascutium,-1,0.8885234858390334,stable,0.36353102513264296,0.3733160187865863
Decascutium,-1,0.8753542652899793,stable,0.4002922612635767,0.40937554574882834
Dodecascutium,-1,0.24781099052558878,soup,0.473298104790611,1.7917734823427391
Tetradecascutium,-1,0.10298284213581375,soup,0.5474159605740488,1.8518152800338805
Tetracosascutium,-1,0.08185967441425285,soup,0.852049666432689,2.04843802239277
Catenoscutium bidirectus,91,,,0.06433069118647747,
Gyropteron arcus,-1,0.9853529595077958,stable,0.05765690367705048,0.05144696670414059
Gyropteron cavus,-1,0.9859758344758054,stable,0.05407026004759412,0.060543925268810465
Gyropteron serratus velox,-1,0.9868988843718672,stable,0.06628574854682051,0.06702058954235089
Gyropteron serratus turbulentus,-1,0.9864120977786154,stable,0.05551020567877556,0.017427738147954227
Gyropteron serratus velox,11,,,0.06628574854682051,
Gyropteron serratus velox,10,,,0.06628574854682051,
Synptera cavus saliens,-1,0.9732090126998241,stable,0.08881061450342748,0.0835129613105034
Synptera cavus pedes,-1,0.9118520859196813,stable,0.09813621816315479,0.3724278838445472
Synptera sinus pedes,-1,0.9691052675284461,stable,0.08980152327005389,0.08371626495109254
Pyroscutium arcus pedes,-1,0.9712409467930633,stable,0.10392006163848141,0.09986705574427748
Pyroscutium ambiguus,-1,0.9691167504253124,stable,0.09776223824917527,0.10643387948585703
Synptera serratus arcus pedes,-1,0.9650725874088267,stable,0.1083927510058997,0.1106060739607713
Synptera serratus cavus labens,-1,0.9659324308266988,stable,0.10426625887748611,0.10514572080409072
Synptera serratus cavus saliens,-1,0.9678256220184704,stable,0.0935158245226982,0.09986358985297959
Synptera serratus sinus labens,-1,0.9702075790081851,stable,0.0914816133065025,0.08995553379482886
Synptera serratus sinus pedes,-1,0.9628108422482748,stable,0.1086182059180656,0.10621046385011587
Pyroscutium ambiguus serratus,-1,0.9600556385843915,stable,0.1227511860642511,0.16578029895034513
Paraptera arcus labens,-1,0.9613119477980644,stable,0.1331986688264595,0.13819733706132792
Paraptera arcus saliens,-1,0.9582024234118252,stable,0.13756410906258415,0.14640617196906527
Paraptera arcus saliens ignis,-1,0.962815040868547,stable,0.11074382217497733,0.1333215269805801
Paraptera arcus pedes,-1,0.9559416615760428,stable,0.15035868691515267,0.15766640755025516
Paraptera cavus labens,-1,0.9648871924996035,stable,0.11763823289399518,0.12057612029698919
Paraptera cavus salien,-1,0.9651841892689541,stable,0.10299730388942312,0.10380308430427834
Paraptera cavus pedes,-1,0.9649362492498533,stable,0.11544620736859998,0.11752144012815774
Paraptera cavus furiosus,-1,0.966265050082125,stable,0.10925423330750365,0.10983071888532833
Paraptera orbis pedes,-1,0.9642765900390645,stable,0.10705045334480087,0.11039078233476429
Paraptera orbis furiosus,-1,0.9677538875002167,stable,0.10091755811498325,0.09958782352877109
Paraptera sinus labens,119,,,0.11449121718720649,
Paraptera sinus pedes,-1,0.9643311640596017,stable,0.10787810389183923,0.11305925317858978
Paraptera ambiguus,479,,,0.14189022982315416,
Paraptera serratus arcus saliens,-1,0.9603827810424441,stable,0.13106855909040427,0.147242963110125
Pentapteryx arcus labens,-1,0.9515211840942612,stable,0.1690897771865714,0.17271577623689544
Pentapteryx arcus saliens,-1,0.9457339835425161,stable,0.18606708601433627,0.18931763861166295
Pentapteryx arcus pedes,-1,0.21366695159156665,soup,0.1901221037666928,1.8677860876124528
Pentapteryx cavus labens,141,,,0.14265623856046097,
Pentapteryx cavus saliens,-1,0.9545340742446196,stable,0.14761035711849388,0.14691427111714056
Pentapteryx cavus pedes,-1,0.9509996139453591,stable,0.15613446502051462,0.16568023952722072
Pentapteryx cavus furiosus,-1,0.9574337007754743,stable,0.13223784068899094,0.1360287122015793
Pentapteryx arcus valvatus,401,,,0.17506634129642984,
Pentapteryx serratus cavus labens,-1,0.953351798414907,stable,0.1572675471768412,0.16150164610980278
Hexapteryx arcus labens,-1,0.9376325931682367,stable,0.21623679442263394,0.2208093426200711
Hexapteryx cavus labens,138,,,0.16355695177917765,
Hexapteryx serratus cavus labens,-1,0.9378097356205064,stable,0.19340477953629667,0.19686545746337078
Heptapteryx arcus labens,-1,0.9263909777491465,stable,0.24369234250017374,0.2521977927743502
Heptapteryx cavus labens,-1,0.9407890801030065,stable,0.18870611709202345,0.19443632049996787
Heptapteryx cavus labens cunctans,162,,,0.18406357107337568,
Heptapteryx serratus cavus labens,-1,0.06534152730021993,soup,0.21895390746513074,1.6260118164746034
Heptapteryx serratus liquefaciens,-1,0.9281728559687573,stable,0.19919563931774217,0.2192952629817984
Octapteryx arcus labens,-1,0.9162630522694588,stable,0.2730302529328037,0.2845815998333097
Octapteryx cavus labens,461,,,0.21099348381861985,
Octapteryx serratus cavus labens,-1,0.91841141142259,stable,0.25403860565237235,0.2583995137335263
Nonapteryx arcus labens,-1,0.9060875384976518,stable,0.3032384512683197,0.3143231463391832
Nonapteryx cavus labens,-1,0.9192758845722137,stable,0.24677581022916925,0.2530243770817963
Nonapteryx serratus cavus labens,-1,0.9077275375619732,stable,0.295606353251781,0.30113121739264215
Nonapteryx serratus sinus labens,-1,0.9098811669895661,stable,0.2767230497518019,0.28133637901031255
Decapteryx arcus labens,-1,0.8991339505803294,stable,0.33761266106933424,0.34487761577534404
Decapteryx cavus labens,-1,0.9104005479380456,stable,0.26741012823615606,0.2775257824355924
Decapteryx serratus sinus labens,-1,0.8965987354547285,stable,0.3388602484627402,0.3464075019254722
Tridecapteryx arcus valvatus,-1,0.8435200064624266,stable,0.4351623905437589,0.6589124626519821
Tetracosapteryx arcus labens,-1,0.7437622528635462,stable,0.7020834579229899,0.7403119559851823
Tetracosapteryx cavus labens,-1,0.7888052402769676,stable,0.5578801214801036,0.5830050347189903
Hexacaudopteryx,-1,0.743124636853666,soup,0.2575546930046323,0.8994017384877853
Hexacaudopteryx serratus cavus labens,-1,0.9273752041173285,stable,0.2241134191457846,0.22615130452890525
Octacaudopteryx serratus cavus labens,-1,0.9082690771975969,stable,0.27443736114106965,0.28156857983270983
Decacaudopteryx serratus sinus labens,-1,0.15196283891785575,soup,0.3398801411918951,1.8100278452031826
Catenopteryx cyclon,-1,0.004202479834696796,soup,0.11654955906463568,1.280722565765494
Catenopteryx cyclon scutoides,-1,1.1303656771850897e-05,soup,0.1336217669671668,1.0755944499335974
Catenopteryx cinguli,-1,0.7900089152210497,stable,0.6159842713267755,0.634962006061227
Catenopteryx serratus cinguli,393,,,0.3414034298829278,
Helicium solidus,-1,0.9804793425726185,stable,0.1074098810998033,0.10694524966417157
Helicium arcus saliens,-1,0.9772279762455804,stable,0.10034666292280392,0.10547545601218207
Helicium arcus saliens ignis,-1,0.011007814917041663,soup,0.10965293522565689,1.1487683153337254
Helicium arcus pedes,-1,0.9891701195226081,stable,0.10438979855947167,0.10971327674693074
Helicium cavus pedes,-1,0.02676371341796494,soup,0.08976104603849465,1.288977528085689
Helicium serratus ocellus,-1,0.9763715974411958,stable,0.10504208706347973,0.10671626534604316
Helicium serratus velox,-1,0.987980897780769,stable,0.10498376649261604,0.10581105661328412
Helicium serratus turbulentus,-1,0.982475042041184,stable,0.10639766859416831,0.10075247249963462
Helicium serratus turbulentus,13,,,0.10639766859416831,
Helicium serratus turbulentus,15,,,0.10639766859416831,
Pentahelicium solidus,360,,,0.1494202034782192,
Pentahelicium ignis,-1,0.9563211247304289,stable,0.16093203963762612,0.16529685577287523
Pentahelicium serratus limus,-1,0.9536276156453183,stable,0.16427052768720768,0.1651337599914676
Heptahelicium solidus,-1,0.9515805222535839,stable,0.2357243879022309,0.23380439574300718
Heptahelicium ignis,-1,0.9296419400296926,stable,0.24486342954610787,0.25520396678307916
Heptahelicium serratus limus,-1,0.9272569393513252,stable,0.23286217172033083,0.2356352143795915
Nonahelicium solidus,-1,0.8885759738426854,stable,0.3477700541173302,0.3546438669660734
Nonahelicium ignis,-1,0.9071737266355874,stable,0.30128399874997464,0.3184614805755896
Nonahelicium serratus,-1,0.9096986572962259,stable,0.27804973811088823,0.2720734202216737
Tetrahelicium(?),124,,,0.15494597831658674,
Tetrahelicium serratus,-1,0.9809421189219409,stable,0.12103462340100961,0.027207923450542067
Tetrahelicium serratus fractus,-1,0.974447353376812,stable,0.12164232472331292,0.1216541884878724
Tetrahelicium serratus turbulentus,-1,0.970937517801317,stable,0.11983371379479787,0.11891887728988491
Hexahelicium solidus,225,,,0.20078920358428337,
Hexahelicium ignis,-1,0.9451177429442025,stable,0.20464076173797485,0.2104936338041771
Hexahelicium serratus,-1,0.9422057802786861,stable,0.18826445093631494,0.19154230321057886
Octahelicium,-1,0.7400593871977658,soup,0.2684298901963997,1.158521224594397
Octahelicium serratus,-1,0.9078122582863958,stable,0.29302598211477315,0.2911303392136289
Decahelicium,-1,0.9129071621375731,stable,0.34569224562148115,0.3555338880534677
Decahelicium serratus,-1,0.8867027822328579,stable,0.3406402003462375,0.3472207544744451
Dodecahelicium limus,-1,0.8712679973237943,stable,0.38883777512265,0.392849297497726
Catenohelicium monospirae,-1,0.8109816757675576,soup,0.23681405850138096,0.7734095229079584
Catenohelicium bispirae vacuoides,-1,0.004305360770392442,soup,0.17810637328895423,1.13690913365514
Catenohelicium bispirae scutoides,-1,0.04213890564131974,soup,0.18597675267817917,1.9630311153083158
Circium lithos apertus,-1,0.9998283370606635,stable,0.011369738959806162,0.012831450413168145
Circium lithos opertus,-1,1.0,stable,0.03687450625387198,0.03687450625387198
Circium ventilans,-1,0.9976323904017689,stable,0.032779095918538684,0.028023595336199195
Circium ventilans tenuis,-1,0.99999598919979,stable,0.011079394534441733,0.012842246764634215
Circium ventilans lateralis,106,,,0.025242565838681265,
Circium ventilans scintillans,172,,,0.02044632234669958,
Circium ventilans cumulans,-1,0.9998391367947794,stable,0.02043818601429869,0.019289214132594473
Circium rupturus,-1,0.1043381628277645,soup,0.023692714114345467,0.6708568713693347
Discutium pachus,-1,0.03865563323576244,soup,0.09839265200741287,1.6261234908857447
Trihelicium pachus,-1,0.001788957754936196,soup,0.10776912542034998,1.144842916924967
max-fleet,-1,0.7197467035529392,soup,0.8211285109646556,0.8532574459927641
Aerogeminium volitans,-1,0.9496943075276552,stable,0.13192541198993393,0.1334845417348633
Aerogeminium ambiguus,-1,0.9496650613186928,stable,0.15002319909953807,0.14564298072109283
Aerogeminium quietus,-1,0.9715259391895015,stable,0.11757490591945895,0.05595900260896584
Aerogeminium labens,-1,0.9556404363080265,stable,0.09903137087978192,0.1040363690736485
Hydrogeminium limus,-1,0.8188802626891087,soup,0.12722949529975544,0.7956443971850917
Hydrogeminium natans,-1,0.9389988426647583,stable,0.15697199094432443,0.16118142827709211
Hydrogeminium labens,-1,0.9460332318912655,stable,0.1379669610356448,0.13264374768018541
Spinogeminium solidus,-1,0.9626351009415179,stable,0.08418600019905426,0.08330157099313162
Spinogeminium limus,-1,0.9732515075690188,stable,0.07962811566666417,0.04374216247941753
Gyrogeminium velox,-1,0.9446329142917267,stable,0.1906023729814057,0.19017164607935363
Gyrogeminium tardus,-1,0.9640777972282258,stable,0.1800859336253997,0.19413763981979437
Gyrogeminium serratus,-1,0.9584803242323346,stable,0.18359330207694274,0.04598304087161248
Circogeminium ventilans,-1,0.9555363361398506,stable,0.1954974062217757,0.16609640831935726
Kronium solidus,-1,0.9789705230309674,stable,0.058619688776538885,0.060830428572039484
Kronium tardus,-1,0.9843709525347922,stable,0.05460633582725883,0.04721977892098967
Kronium vagus,-1,0.9791290462018399,stable,0.0626115683971649,0.05800792024335841
Kronium saliens,-1,0.9764658686318983,stable,0.06721513058545601,0.06982122823343971
Kronium limus,-1,0.9736748278501269,stable,0.08754801899773677,0.08614248094890958
Kronium dividuus,-1,0.9786672684722315,stable,0.06977285228809987,0.07067054436270828
Kronium solidus,-1,0.975089206889209,stable,0.058619688776538885,0.08441968514719923
Kronium solidus,14,,,0.058619688776538885,
Kronium saliens,-1,0.9774347270598437,stable,0.06721513058545601,0.0896472516010371
Gyrokronium,-1,0.9870181953520676,stable,0.06663098148261833,0.06586170788251879
Argentokronium,-1,0.9774281437925876,stable,0.07319576178149625,0.07096244034984937
Ferrokronium solidus,-1,0.9726479569376056,stable,0.08482254248637415,0.0860510914091005
Ferrokronium valvatus centrale,-1,0.9749566670073837,stable,0.08437619126545397,0.08404140973788135
Ferrokronium valvatus laterale,-1,0.9742431836615729,stable,0.08513903961991288,0.0841500063750347
Ferrokronium tardus,-1,0.9727469326214625,stable,0.0787424212605578,0.07923388257194998
Ferrokronium circularis,-1,0.9773122109963451,stable,0.06969321538915366,0.07027157329832118
Ferrokronium solidus,-1,0.9698363244645752,stable,0.08482254248637415,0.07951794046114025
Ferrokronium saliens,-1,0.9734203877243492,stable,0.0783583285023618,0.07678575229286208
Aurokronium arcus,-1,0.9682696096402789,stable,0.09543071025817085,0.09558359931467106
Aurokronium cavus,-1,0.9715452502547304,stable,0.08156240105187956,0.08211627164513816
Synkronium arcus,-1,0.963039708137159,stable,0.10365904289937675,0.10506444916832346
Synkronium cavus,-1,0.9660029991461881,stable,0.09670600135444801,0.0964589283022381
Florakronium arcus,-1,0.9616319772095591,stable,0.10849373254625869,0.11156976849864927
Florakronium cavus,-1,0.9729324159817496,stable,0.0993509065068472,0.04411516882733922
Allikronium,-1,0.5399345355422186,soup,0.12290212409806474,1.1537692565826352
Parakronium arcus,-1,0.9555779616248347,stable,0.12424519986946828,0.12606639212049978
Parakronium cavus,-1,0.9574174339145788,stable,0.12183672339971076,0.12356138377036602
Pentakronium arcus,-1,0.9455625889600059,stable,0.14666714054409064,0.14926597028167865
Pentakronium cavus,-1,0.9476925581626856,stable,0.14296535486611076,0.13918202780936992
Hexakronium arcus,-1,0.9365624020308785,stable,0.16710983988415706,0.1696433903529232
Hexakronium cavus,-1,0.9428366657374024,stable,0.14421284974962537,0.14996648812012947
Heptakronium arcus,-1,0.929165680197343,stable,0.18713209657921032,0.18774172487525143
Tetracaudokronium cavus,-1,0.7718895528014539,soup,0.1292911572085819,0.6541930896024103
Pentacaudokronium cavus,-1,0.940652123331336,stable,0.14330066613947265,0.14376653725733476
Hexacaudokronium cavus,-1,0.9356327618207474,stable,0.16618738231381444,0.16412800058845167
Catenokronium cinguli,154,,,0.2950328181365156,
Tetravolvium,-1,0.6592552552174924,soup,0.07610883175631897,0.8883163537412517
Hexavolvium,-1,0.993973949417338,stable,0.10660484128069117,0.10426690444281027
Hexavolvium resiliens,-1,0.9788576153272963,stable,0.11518271438622074,0.04618502476638278
Hexavolvium ulterior,-1,0.9949206711535877,stable,0.10585288880334491,0.10737110993477855
Crucium arcus,-1,0.9548012230450447,stable,0.11591957857869403,0.11627530967361575
Crucium arcus valvatus,-1,0.9586523498274532,stable,0.11418283236318293,0.11121925822227498
Crucium arcus anulus,-1,0.9559464869523473,stable,0.12678560817555798,0.1280299765206195
Crucium arcus vagus,-1,0.9691746542262216,stable,0.09727728660089247,0.11276472424996276
Crucium arcus vagus,12,,,0.09727728660089247,
Crucium arcus gyrans,-1,0.9729663393800783,stable,0.11142662991166323,0.11298250358274092
Crucium cavus,-1,0.9612983521186087,stable,0.0949875539548734,0.09187220126851513
Crucium cavus anulus,-1,0.9620437489311655,stable,0.10883080987348599,0.10934527114655554
Crucium crux,-1,0.9558649467096836,stable,0.1326077237099913,0.1321679057233313
Crucium crux rotans,-1,0.9980345973979426,stable,0.13159089456297737,0.13318721041428613
Crucium crux ventilans,-1,0.976226969138049,stable,0.13048632524675843,0.12273404257344943
