Animal,size,symmetry,circularity
Orbium unicaudatus,222,0.9065743944636678,0.32911848428506607
Orbium unicaudatus ignis,198,0.9389312977099237,0.44718221954790566
Orbium bicaudatus,201,0.8913857677902621,0.20541570260148692
Orbium bicaudatus ignis,179,0.9224489795918367,0.5007576626753627
Gyrorbium gyrans,253,0.819620253164557,0.29156256076381215
Gyrorbium labans,235,0.8340425531914893,0.28216201842632693
Vagorbium vagus,699,0.912568306010929,0.12984876256370184
Synorbium,398,0.9282511210762332,0.25490092975814904
Tetrasynorbium?,3131,0.9306688417618271,0.14952714068511305
Parorbium dividuus,534,0.9281045751633987,0.0860115080114108
Parorbium dividuus pedes,383,0.9230769230769231,0.18410266123834348
Parorbium adhaerens,607,0.9546247818499127,0.11361164692690616
Triorbium(?),2236,0.8449744463373083,0.1061714536448507
Scutium solidus,241,0.9407407407407408,0.17548887117823034
Scutium valvatus,271,0.8945686900958466,0.12191609303223877
Scutium serratus fluens,257,0.9405940594059405,0.16569978763693893
Scutium serratus vagus,159,0.9468085106382979,0.12793315047216897
Scutium serratus saliens,484,0.9656419529837251,0.08172343160466311
Scutium serratus solidus,264,0.9617834394904459,0.17771050283257614
Scutium serratus fluens,257,0.9405940594059405,0.16569978763693893
Scutium serratus fluens,257,0.9405940594059405,0.16569978763693893
Discutium solidus,489,0.9752577319587629,0.10822109853926226
Discutium valvatus,494,0.9754601226993865,0.09876108276628486
Discutium serratus,453,0.9372384937238494,0.08615409832835358
Discutium serratus,453,0.9372384937238494,0.08615409832835358
Triscutium solidus,742,0.9901408450704225,0.036383315700553684
Triscutium valvatus centrale,655,0.9711538461538461,0.07415427945351033
Triscutium valvatus laterale,653,0.9586776859504132,0.06299629913252269
Triscutium serratus valvatus centrale,675,0.9598603839441536,0.06397649948321162
Triscutium serratus valvatus laterale,642,0.9424083769633508,0.06533068795654119
Tetrascutium solidus,1021,0.9784580498866213,0.034261238017639355
Tetrascutium valvatus,916,0.9670487106017192,0.03568519644803545
Pentascutium solidus,1208,0.9767441860465116,0.026566134951197848
Pentascutium valvatus,1194,0.9772972972972973,0.023978215190233194
Hexascutium,1513,0.9781221513217867,0.024305803787136288
Heptascutium,1854,0.9736111111111111,0.028879200737977152
Octascutium,2237,0.9697986577181208,0.024817620817116116
Octascutium obliquus,2349,0.9611699445284921,0.02024746909519446
Nonascutium,2533,0.9786455155582673,0.01807832221828099
Decascutium,2852,0.9731379731379731,0.014638672599714183
Dodecascutium,3457,0.9730021598272138,0.014797343055362002
Tetradecascutium,4037,0.9763969171483622,0.009712616342063607
Tetracosascutium,6884,0.9593675307961023,0.007002111440463881
Catenoscutium bidirectus,344,1.0,0.14078781685108135
Gyropteron arcus,316,0.926829268292683,0.13949230276002741
Gyropteron cavus,281,0.8926380368098159,0.22718691162880172
Gyropteron serratus velox,350,0.8888888888888888,0.14153475006455385
